id,lat,lon
GRT02_da0e7f2c-9c0f-4bcc-9f9b-5e2a8083e436,51.90682,4.46446
GRT02_8445c295-3a3f-4e71-a2d4-f37d538676a3,51.93771,4.41743
GRT02_5cccb4b0-aad8-43ec-9538-4e5ee958aed7,51.93412,4.42162
GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,51.90819,4.46351
GRT02_2ef125ea-d464-47b5-bf1d-9c3c34537fd1,51.91656,4.44397
GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,51.90975,4.44957
GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,51.91656,4.44397
GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,51.90819,4.46351
GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,51.90975,4.44957
GRT02_21b66176-5105-4b1b-9348-e85f216d8f1f,51.90682,4.46446
GRT02_9394b8db-a6ec-4c5c-9037-0d271bf8d150,51.93771,4.41743
GRT02_68773bd4-ff90-4070-bf77-9c8873bfcf2b,51.93412,4.42162
GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,51.90819,4.46351
GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,51.90682,4.46446
GRT02_da4d7010-3289-42da-b9b4-ff885d567e8d,51.91656,4.44397
GRT02_793f4a89-0252-4071-9463-24d8fa62e740,51.90975,4.44957
GRT02_2a6f0645-245d-4632-a6e6-9d161458d4df,51.93771,4.41743
GRT02_272d76a1-d1b8-40a0-bc4c-2ac1e0b669d2,51.90682,4.46446
GRT02_e7d37fe3-9dbf-4713-9525-02bf42c7c868,51.93412,4.42162
GRT02_9c82ed04-06a8-431d-9d9a-4cef97245983,51.90819,4.46351
GRT02_2d8bd0cc-b810-4a15-a57b-c517cd5c4854,51.91656,4.44397
GRT02_8141a9a6-3206-4ae2-9de5-df59bc67624b,51.90682,4.46446
GRT02_19628cad-f8d9-4b76-9d0d-0fa12062b626,51.90975,4.44957
GRT02_f15834dd-0986-48b4-95b2-303ba3c9e590,51.90819,4.46351
GRT02_28b11a51-1d62-417a-b685-fe0845acd29e,51.93771,4.41743
GRT02_6aa6e5c0-ee6f-4822-8be7-5866ae69f45a,51.91656,4.44397
GRT02_1d6a9e08-85da-4384-acc1-24f019f0f048,51.93412,4.42162
GRT02_3de27996-fedb-4a14-8801-6d01505b78dd,51.90682,4.46446
GRT02_b392f584-dcdf-4fb8-9dea-14d6f165b49b,51.90819,4.46351
GRT02_169f5bf3-d19f-4c67-9751-dd77aafb8949,51.93412,4.42162
GRT02_361dabab-9c2b-42bf-9e8f-93ba80406c64,51.90682,4.46446
GRT02_34d2d23d-0ada-43d4-80e3-7ac22f3e6f6c,51.90975,4.44957
RWS06_NLRTM001160350300018_4167108,51.901276,4.2269144
GRT02_ed44e1f9-c435-4dae-81c5-a286a6e0f301,51.90819,4.46351
GRT02_adc75b3a-2a3c-4a4b-a6d5-0f149fcb594a,51.93771,4.41743
GRT02_1c2e0d9d-f681-437f-8d5b-7ca9929ae9ff,51.93412,4.42162
RWS06_NLRTM001160350300018_4171874,51.901276,4.2269144
GRT02_7a1cc228-f9a8-41b5-86ab-91685914f384,51.93771,4.41743
GRT02_9de96a85-078b-4954-82ad-3bec2e22a75b,51.91277,4.49785
GRT02_07a01f40-8ef1-4801-ba50-95702de274ba,51.90682,4.46446
